2.000000	0.101759	0.594164	0.017746	0.450706	0.157324	0.003817	0.043867	
4.000000	0.081426	0.592470	0.017380	0.452428	0.152313	0.003817	0.044560	
8.000000	0.057415	0.595222	0.016687	0.451943	0.135377	0.003817	0.046037	
10.000000	0.047980	0.591301	0.016059	0.455037	0.125281	0.003817	0.045274	
12.000000	0.043713	0.589457	0.015826	0.455233	0.121630	0.003817	0.047332	
14.000000	0.010408	0.592488	0.015477	0.452683	0.114839	0.003817	0.047276	
16.000000	-0.004500	0.592308	0.015189	0.453721	0.100715	0.003817	0.049608	
18.000000	-0.005746	0.588449	0.014682	0.456237	0.100245	0.003817	0.049755	
20.000000	-0.030171	0.590338	0.014224	0.453501	0.095572	0.003817	0.047396	
22.000000	-0.055197	0.593349	0.014272	0.451190	0.085642	0.003817	0.045465	
24.000000	-0.050402	0.590871	0.013749	0.450856	0.095075	0.003817	0.049715	
26.000000	-0.076304	0.594805	0.013388	0.450836	0.088150	0.003817	0.047961	
28.000000	-0.075771	0.588446	0.012808	0.460302	0.082877	0.003817	0.051359	
30.000000	-0.087509	0.582680	0.012573	0.457036	0.073290	0.003817	0.048485	
